taglen,crossmapped,No_CDS,rmsk_RNA,scRNA,precursor,snoRNA,rmsk_Other,srpRNA,rmsk_Unknown,Satellite,rmsk_Low_complexity,SINE,rmsk_DNA,mature,Unknown,p5_UTR,rmsk_Simple_repeat,Coding_Exon,snRNA,star,LINE,rRNA,Intron,p3_UTR,tRNA,LTR,stemloop,unannotated
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000120667628296839,0,0,0,0,0,0,0,4.28175455246848e-05,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00235107249971906,3.89250413860771e-06,0,5.4495057940508e-05,0,0,0,0,0.000463207992494318,3.89250413860771e-06,0,0,0,3.89250413860771e-06
14,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89250413860771e-06,0.0122302480035054,7.39575786335465e-05,0,0.000362002884890517,0,0,0,0,0.000891383447741166,2.33550248316463e-05,0,0,0,1.16775124158231e-05
15,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94625206930386e-05,0.0113583270764573,8.56350910493697e-05,0,0.00105486862156269,0,0,0,0,0.00113661120847345,0.000132345140712662,0,0,0,7.78500827721543e-06
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000883598439463951,0.0140986499900371,0.000179055190375955,0,0.00187229449067031,0,0,0,0,0.00248341764043172,0.000381465405583556,0,0,7.78500827721543e-06,0.000128452636574055
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00747750045026542,0.0212919976381842,0.00022187273590064,0,0.00295441064120325,0,0,0,0,0.00255737521906527,0.000517703050434826,0,0,1.16775124158231e-05,0.000517703050434826
18,7.78500827721543e-06,0,0,0,0,0,0,0,0,0,0,0,0,0.0142154251141954,0.0178315614589619,0.000295830314534186,0,0.00326581097229187,0,0,0,0,0.00533662317403117,0.000677295720117742,0,0,0,0.000525488058712041
19,2.33550248316463e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.0346082542963612,0.0201086763800474,0.000268582785563932,0,0.00338647860058871,0,0,0,0,0.00204356467276905,0.000650048191147488,0,0,0,0.00197739210241272
20,5.06025538019003e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.170491681271018,0.0174890210947645,0.000241335256593678,0,0.00360835133648935,0,0,0,0,0.00289213057498553,0.000910845968434205,0,0,3.89250413860771e-06,0.00963005523891548
21,0.000502133033880395,0,0,0,3.89250413860771e-06,0,0,0,0,0,0,0,0,1.66127794881225,0.0305366949673775,0.000241335256593678,0,0.00403263428759759,0,0,0,0,0.022117208515569,0.000992588555344967,0,0,3.89250413860771e-06,0.0255971072154843
22,3.50325372474694e-05,0,0,0,0,0,0,0,0,0,0,0,0,2.91436066612112,0.0438568441296931,0.000253012769009501,0,0.00391975166757797,0,0,0,0,0.0682823075994565,0.00135069893609688,0,0,7.78500827721543e-06,0.0413150389271823
23,1.16775124158231e-05,0,0,0,0,0,0,0,0,0,0,0,0,0.786052285750442,0.0284074952035591,0.000210195223484816,0,0.00422336699038937,0,0,0,0,0.0114867797130314,0.00172048682926461,0,0,0,0.0191083028164253
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0812287763644658,0.0163485173821524,0.000194625206930386,0,0.00425450702349823,0,0,0,0,0.00176330437478929,0.00124560132435447,0,0,0,0.00827935630281861
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00412605438692418,0.0172515783423094,0.000229657744177855,0,0.00442577720559697,0,0,0,0,0.00232771747488741,0.00121835379538421,0,0,0,0.000280260297979755
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000700650744949388,0.0243553983952685,0.000330862851781656,0,0.00423115199866658,0,0,0,0,0.00266247283080768,0.00189564951550196,0,0,0,0.000369787893167733
27,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39575786335465e-05,0.0781264505659954,0.000315292835227225,0,0.00470603750357672,0,0,0,0,0.00759038307028504,0.00134680643195827,0,0,0,2.33550248316463e-05
28,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55700165544309e-05,0.0628678343426532,0.000245227760732286,0,0.00483838264428939,0,0,0,0,0.0134875268402757,0.00245617011146147,0,0,0,2.33550248316463e-05
29,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55700165544309e-05,0.0848526977175095,0.000354217876613302,0,0.00549621584371409,0,0,0,0,0.00851679905527367,0.00688194731705844,0,0,0,1.55700165544309e-05
30,0,0,0,0,3.89250413860771e-06,0,0,0,0,0,0,0,0,1.55700165544309e-05,0.0580333442025024,0.000264690281425324,0,0.00575701362100081,0,0,0,0,0.0054027957443875,0.00360445883235074,0,0,0,3.11400331088617e-05
31,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94625206930386e-05,0.0615054578941405,0.000202410215207601,0,0.00557017342234764,0,0,0,0,0.0080263435338091,0.00551178586026852,0,0,0,3.50325372474694e-05
32,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89250413860771e-05,0.0876630857055843,0.000354217876613302,0,0.005854326224466,0,0,0,0,0.00729844525988946,0.00212919976381842,0,0,0,1.94625206930386e-05
33,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16775124158231e-05,0.0727314398298851,0.000443745471801279,0,0.00656665448183121,0,0,0,0,0.0206925520008386,0.00477999508221027,0,0,0,7.78500827721543e-06
34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55700165544309e-05,0.104899094031339,0.0011093636795032,0,0.00716999262331541,0,0,0,0,0.0212180400595506,0.00256516022734248,0,0,3.89250413860771e-06,7.78500827721543e-06
35,0,0,0,0,0,0,0,0,0,0,0,0,0,9.73126034651928e-05,0.0588624475840258,0.00144801153956207,0,0.00692865736672173,0,0,0,0,0.015955374464153,0.00203188716035323,0,0,4.28175455246848e-05,3.89250413860771e-06
36,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4495057940508e-05,0.0682200275332388,0.000482670513187356,0,0.00715053010262237,0,0,0,0,0.0083260663524819,0.00335533856747985,0,0,5.4495057940508e-05,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50325372474694e-05,0.0433313560709811,0.000797963348414581,0,0.00701039995363249,0,0,0,0,0.00894886701465913,0.00181001442445259,0,0,7.39575786335465e-05,3.89250413860771e-06
38,0,0,0,0,0,0,0,0,0,0,0,0,0,6.22800662177234e-05,0.0605362243636271,0.000350325372474694,0,0.0069636899039692,0,0,0,0,0.0158736318772423,0.00162317422579942,0,0,7.78500827721543e-06,3.89250413860771e-06
39,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94625206930386e-05,0.0704192923715521,0.000334755355920263,0,0.00732180028472111,0,0,0,0,0.0208015421167196,0.00270139787219375,0,0,7.78500827721543e-06,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94625206930386e-05,0.0758493356449099,0.000385357909722164,0,0.00725952021850338,0,0,0,0,0.0199179436772557,0.00205524218518487,0,0,3.89250413860771e-06,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50325372474694e-05,0.0860944065377254,0.000182947694514562,0,0.00740354287163187,0,0,0,0,0.0456785360665615,0.00190732702791778,0,0,3.89250413860771e-06,3.89250413860771e-06
42,0,0,0,0,0,0,0,0,0,0,0,0,0,7.78500827721543e-06,0.128316398929203,0.000210195223484816,0,0.00683912977153375,0,0,0,0,0.0298321517182895,0.00178276689548233,0,0,3.89250413860771e-06,3.89250413860771e-06
43,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94625206930386e-05,0.125611108552871,0.000155700165544309,0,0.00743857540887934,0,0,0,0,0.0217707756472329,0.00200853213552158,0,0,7.78500827721543e-06,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,7.00650744949388e-05,0.260692679674974,0.00018684019865317,0,0.00728676774747364,0,0,0,0,0.0124832607725149,0.0020669196976007,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013623764485127,0.33205395804807,0.000276367793841148,0,0.00906564213881736,0,0,0,0,0.0379480228472866,0.00211362974726399,0,0,3.89250413860771e-06,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000564413100098118,0.326398149534673,0.000432067959385456,0,0.0127362735415244,0,0,0,0,0.127148647687621,0.00298944317845072,0,0,3.89250413860771e-06,0
47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000171270182098739,5.6327298563592,0.0011093636795032,0,0.0316577361592965,0,0,0,0,3.92687884265576,0.00678852721773185,0,0,3.89250413860771e-06,3.89250413860771e-06
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,1.55700165544309e-05,0,0,0,0,0,0,0,0,0.00185672447411588,56.6682313235803,0.0171153406974581,0,0.250291908616615,0,0,0,0,24.231850313909,0.076433211265701,0,0,1.55700165544309e-05,0.000101205107603801
