taglen,crossmapped,unannotated,rmsk_Low_complexity,Satellite,rmsk_Simple_repeat,LTR,rmsk_DNA,p3_UTR,snoRNA,rmsk_Other,precursor,mature,SINE,Unknown,No_CDS,Coding_Exon,star,srpRNA,tRNA,rmsk_Unknown,p5_UTR,rmsk_RNA,Intron,stemloop,scRNA,LINE,rRNA,snRNA
11,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80597902238216e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,4.80597902238216e-06,0,0,0,0,0,0.00108134528003599,0,4.80597902238216e-06,0,0,0,0,1.44179370671465e-05,0,8.17016433804968e-05,0,0,0,0,0
13,0,0,0,0,0,0,0,3.36418531566752e-05,0,0,0,0,0,0.0066034151767531,0,0.00017782122382814,0,0,0,0,6.72837063133503e-05,0,0.00159558503543088,0,0,0,0,0
14,0,4.80597902238216e-06,0,0,0,0,0,5.7671748268586e-05,0,0,0,0,0,0.0340503613735776,0,0.000639195209976828,0,0,0,0,0.00022107503502958,0,0.00302776678410076,0,0,0,0,0
15,0,2.40298951119108e-05,0,0,0,0,0,0.000240298951119108,0,0,0,4.80597902238216e-06,0,0.0261204959866471,0,0.00164845080467708,0,0,0,0,0.000384478321790573,0,0.00326806573521987,0,0,0,0,0
16,0,6.72837063133503e-05,0,0,0,0,0,0.000567105524641095,0,0,0,0.000346030489611516,0,0.0295759949037398,0,0.00273460206373545,0,0,0,0,0.000384478321790573,0,0.00470985944193452,4.80597902238216e-06,0,0,0,0
17,0,0.000100925559470025,0,0,0,0,0,0.000668031084111121,0,0,0,0.0025327509447954,0,0.044580261411617,0,0.0034218570639361,0,0,0,0,0.000389284300812955,0,0.0044743664698378,4.80597902238216e-06,0,0,0,0
18,0,0.000461373986148688,0,0,0,0,0,0.000744926748469236,0,0,0,0.00799234311422154,0,0.0317723273169685,0,0.00330170758837655,0,0,0,0,0.000326806573521987,0,0.00550284598062758,0,0,0,0,0
19,3.84478321790573e-05,0.000985225699588344,0,0,0,0,0,0.000764150664558764,0,0,0,0.0185174371732385,0,0.0413602554666209,0,0.00369579786821188,0,0,0,0,0.000360448426678662,0,0.00359967828776424,1.44179370671465e-05,0,0,0,0
20,8.17016433804968e-05,0.00605553356820153,0,0,0,0,0,0.000898718077185465,0,0,0,0.109403306465508,0,0.0320943279114681,0,0.00356123045558518,0,0,0,0,0.000384478321790573,0,0.00403221639977864,0,0,0,0,0
21,0.000370060384723427,0.0148552811581833,0,0,0,0,0,0.00106212136394646,0,0,0,0.810307287089723,0,0.0399665215501301,0,0.00388323105008479,0,0,0,0,0.000312388636454841,0,0.0108038408423151,0,0,0,0,0
22,4.80597902238216e-06,0.0306044744145296,0,0,0,0,0,0.00124955454581936,0,0,0,1.28234574068908,0,0.0558791180932374,0,0.00368137993114474,0,0,0,0,0.000389284300812955,0,0.0311763859181931,3.84478321790573e-05,0,0,0,0
23,0,0.0157155514031897,0,0,0,0,0,0.00125916650386413,0,0,0,0.411449476064182,0,0.0354969610593147,0,0.00403221639977864,0,0,0,0,0.00046617996517107,0,0.00798273115617678,0,0,0,0,0
24,0,0.00416197783338296,0,0,0,0,0,0.00107173332199122,0,0,0,0.0512894081268625,0,0.0234387596921578,0,0.00387842507106241,0,0,0,0,0.00039889625885772,0,0.00395532073542052,4.80597902238216e-06,0,0,0,0
25,0,0.000278746783298166,0,0,0,0,0,0.000922747972297376,0,0,0,0.0064400118899921,0,0.0310033706733873,0,0.00427251535089775,0,0,0,0,0.000437344091036777,0,0.00426770937187536,0,0,0,0,0
26,0,0.000403702237880102,0,0,0,0,0,0.00161961493054279,0,0,0,0.000249910909163873,0,0.0366888438568655,0,0.00438305286841253,0,0,0,0,0.000461373986148688,0,0.00508472580568033,0,0,0,0,0
27,0,3.36418531566752e-05,0,0,0,0,0,0.00110056919612552,0,0,0,0.000100925559470025,0,0.0542691151207394,0,0.00478675510629264,0,0,0,0,0.000648807168021592,0,0.00867959811442219,0,0,0,0,0
28,0,1.92239160895287e-05,0,0,0,0,0,0.00153310730813991,0,0,4.80597902238216e-06,3.36418531566752e-05,0,0.0688696793907364,0,0.00491651653989696,0,0,0,0,0.00046617996517107,0,0.0119284399335525,0,0,0,0,0
29,0,3.84478321790573e-05,0,0,0,0,0,0.00303257276312315,0,0,0,5.7671748268586e-05,0,0.101809859610144,0,0.00539230846311279,0,0,0,0,0.000552687587573949,0,0.00936204713560046,4.80597902238216e-06,0,0,0,0
30,0,2.8835874134293e-05,0,0,0,0,0,0.00214827262300483,0,0,4.80597902238216e-06,4.80597902238216e-05,0,0.168497624524719,0,0.00591616017655245,0,0,0,0,0.000461373986148688,0,0.00774723818408005,0,0,0,0,0
31,0,8.6507622402879e-05,0,0,0,0,0,0.00468102356780023,0,0,0,9.61195804476433e-05,0,0.109792590766321,0,0.00610839933744773,0,0,0,0,0.000442150070059159,0,0.0118563502482168,0,0,0,0,0
32,0,3.84478321790573e-05,0,0,0,0,0,0.00469063552584499,0,0,0,0.000124955454581936,0,0.176965759562156,0,0.00594980202970912,0,0,0,0,0.00233570580487773,0,0.0147495496196909,0,0,0,0,0
33,0,3.36418531566752e-05,0,0,0,0,0,0.0131395466471928,0,0,0,2.40298951119108e-05,0,0.633706781933268,0,0.00699750545658843,0,0,0,0,0.00097561374154358,0,0.0126973965771337,0,0,0,0,0
34,0,2.8835874134293e-05,0,0,0,0,0,0.00791064147084104,0,0,4.80597902238216e-06,9.61195804476433e-06,0,0.630828000498861,0,0.00723299842868516,0,0,0,0,0.00272499010569069,0,0.0153310730813991,0,0,0,0,0
35,0,3.36418531566752e-05,0,0,0,0,0,0.0201995298310722,0,0,9.61195804476433e-06,6.72837063133503e-05,0,0.184986938550512,0,0.00723299842868516,0,0,0,0,0.00150427143400562,0,0.0193584835021554,3.84478321790573e-05,0,0,0,0
36,0,4.80597902238216e-06,0,0,0,0,0,0.00814613444293777,0,0,1.44179370671465e-05,6.72837063133503e-05,0,0.146750569448439,0,0.00798753713519916,0,0,0,0,0.000850658286961643,0,0.0109960800032104,1.92239160895287e-05,0,0,0,0
37,0,0,0,0,0,0,0,0.00204254108451242,0,0,0,3.36418531566752e-05,0,0.08697380236805,0,0.00784335776452769,0,0,0,0,0.000893912098163083,0,0.0116929469614558,4.80597902238216e-05,0,0,0,0
38,0,1.44179370671465e-05,0,0,0,0,0,0.00196083944113192,0,0,0,1.44179370671465e-05,0,0.101511888910756,0,0.00786738765963961,0,0,0,0,0.000797792517715439,0,0.0269182885043625,2.40298951119108e-05,0,0,0,0
39,0,0,0,0,0,0,0,0.00239337755314632,0,0,0,0.000134567412626701,0,0.111618862794826,0,0.00863153832419837,0,0,0,0,0.000610359335842535,0,0.0246114185736191,9.61195804476433e-06,0,0,0,0
40,0,0,0,0,0,0,0,0.00225881014051962,0,0,0,5.28657692462038e-05,0,0.103929296359014,0,0.00853061276472834,0,0,0,0,0.000615165314864917,0,0.0257360176648565,9.61195804476433e-06,0,0,0,0
41,0,9.61195804476433e-06,0,0,0,0,0,0.00193680954602001,0,0,0,0.000139373391649083,0,0.144578266930323,0,0.00839123937307926,0,0,0,0,0.000403702237880102,0,0.0416582261660086,2.8835874134293e-05,0,0,0,0
42,0,0,0,0,0,0,0,0.00179743615437093,0,0,0,4.80597902238216e-05,0,0.204441541633115,0,0.00833356762481067,0,0,0,0,0.000480597902238217,0,0.0336851069678766,0,0,0,0,0
43,0,1.44179370671465e-05,0,0,0,0,0,0.00236934765803441,0,0,0,4.80597902238216e-06,0,0.207940294361409,0,0.00891509108651892,0,0,0,0,0.000605553356820153,0,0.0247892397974472,0,0,0,0,0
44,0,9.61195804476433e-06,0,0,0,0,0,0.00198006335722145,0,0,0,0.000153791328716229,0,0.470937884403228,0,0.00854503070179549,0,0,0,0,0.000634389230954446,0,0.0127118145142008,4.80597902238216e-06,0,0,0,0
45,0,0,0,0,0,0,0,0.00223478024540771,0,0,0,0.00161961493054279,0,0.485500000841046,0,0.011909216017463,0,0,0,0,0.000543075629529185,0,0.0535145764142254,4.80597902238216e-06,0,0,0,0
46,0,0,0,0,0,0,0,0.00311908038552603,0,0,0,0.000374866363745809,0,0.464127812128513,0,0.0168065086412704,0,0,0,0,0.00121591269266269,0,0.192676504986323,0,0,0,0,0
47,0,9.61195804476433e-06,0,0,0,0,0,0.00706959514192416,0,0,1.44179370671465e-05,0.000187433181872904,0,5.35668174061987,0,0.0403269699768087,0,0,0,0,0.00216749653909436,0,3.00452987552755,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0.000115343496537172,0,0,0,0,0,0.115040719858762,0,0,2.8835874134293e-05,0.00229245199367629,0,59.0776797598356,0,0.309149406593755,0,0,0,0,0.0329882400096312,0,23.1564997381943,0,0,0,0,0
