taglen,crossmapped,rmsk_Unknown,rmsk_Other,mature,star,SINE,srpRNA,rmsk_RNA,scRNA,snRNA,p5_UTR,Intron,precursor,No_CDS,Unknown,unannotated,stemloop,rRNA,tRNA,LTR,Coding_Exon,rmsk_Low_complexity,snoRNA,rmsk_DNA,rmsk_Simple_repeat,LINE,Satellite,p3_UTR
12,0,0,0,0,0,0,0,0,0,0,5.77649665779124e-05,0.000274383591245084,0,0,0.000683552104505297,0,0,0,0,0,4.81374721482603e-06,0,0,0,0,0,0,2.40687360741302e-05
13,0,0,0,0,0,0,0,0,0,0,0.000423609754904691,0.00189180265542663,0,0,0.0091894434331029,1.92549888593041e-05,0,0,0,0,0.00030326607453404,0,0,0,0,0,0,9.14611970816946e-05
14,0,0,0,0,0,0,0,0,0,0,0.000616159643497732,0.00378841905806809,0,0,0.0341053990170424,2.88824832889562e-05,0,0,0,0,0.00165111529468533,0,0,0,0,0,0,0.000178108646948563
15,0,0,0,0.000144412416444781,0,0,0,0,0,0,0.00086166075145386,0.0068595897811271,0,0,0.0542413036166597,1.44412416444781e-05,4.81374721482603e-06,0,0,0,0.00413982260475039,0,0,0,0,0,0,0.000447678490978821
16,0,0,0,0.00226727493818306,0,0,0,0,0,0,0.00106865188169138,0.0135699533985946,0,0,0.0672095386134011,0.000187736141378215,1.92549888593041e-05,0,0,0,0.0064167250373631,0,0,0,0,0,0,0.000991631926254163
17,0,0,0,0.0176327560479078,0,0,0,0,0,0,0.000929053212461424,0.00969007314344481,0,0,0.0557817027254041,0.00275827715409532,1.92549888593041e-05,0,0,0,0.00877064742541303,0,0,0,0,0,0,0.00143931041723298
18,4.81374721482603e-06,0,0,0.0448881927782528,0,0,0,0,0,0,0.00116011307877307,0.0207472504959002,4.81374721482603e-06,0,0.0534759178095024,0.00156928159203329,4.81374721482603e-06,0,0,0,0.00903540352222846,0,0,0,0,0,0,0.00155002660317398
19,0.000120343680370651,0,0,0.0949222813291545,0,0,0,0,0,0,0.000669110862860819,0.00671036361746749,4.81374721482603e-06,0,0.0550596406431802,0.00623861639041454,9.62749442965207e-06,0,0,0,0.00805339909040395,0,0,0,0,0,0,0.00161741906418155
20,0.000105902438726173,0,0,0.446393220472463,0,0,0,0,0,0,0.000702807093364601,0.0074516806885507,9.62749442965207e-06,0,0.0468714566307611,0.0275250065743753,4.81374721482603e-06,0,0,0,0.00788491793788504,0,0,0,0,0,0,0.00183403768884872
21,0.00110234811219516,0,0,3.82958141050207,0,0,0,0,0,0,0.000539139688060516,0.0424524366875508,4.81374721482603e-06,0,0.0602007226686144,0.0711086738574102,0,0,0,0,0.00818818401241908,0,0,0,0,0,0,0.00215655875224206
22,1.92549888593041e-05,0,0,6.15559850594765,0,0,0,0,0,0,0.000847219509809382,0.143189724652215,0,0,0.0816748489939533,0.150367021749521,1.92549888593041e-05,0,0,0,0.00764904432435857,0,0,0,0,0,0,0.00272939467080636
23,1.44412416444781e-05,0,0,1.45423784734616,0,0,0,0,0,0,0.000587277160208776,0.0266344633396324,0,0,0.0501062947591242,0.038047857985985,0,0,0,0,0.00792824166281848,0,0,0,0,0,0,0.0026620022097988
24,0,0,0,0.113407070634087,0,0,0,0,0,0,0.00100607316789864,0.00399059644109078,9.62749442965207e-06,0,0.0298500464791362,0.0158709245672814,0,0,0,0,0.0074324256996914,0,0,0,0,0,0,0.0020891662912345
25,0,0,0,0.00567059421906507,0,0,0,0,0,0,0.000548767182490168,0.00409649887981695,1.44412416444781e-05,0,0.0330319333881362,0.000346589799467474,0,0,0,0,0.0069895609559274,0,0,0,0,0,0,0.00164148780025568
26,0,0,0,0.000722062082223905,0,0,0,0,0,0,0.00146337915330711,0.00493890464241151,0,0,0.0401033280467157,0.00053432594084569,0,0,0,0,0.00728319953603179,0,0,0,0,0,0,0.00412538136310591
27,0,0,0,0.000336962305037822,0,0,0,0,0,0,0.00225283369653858,0.0136566008484615,0,0,0.135603259041649,4.81374721482603e-05,0,0,0,0,0.00791861416838882,0,0,0,0,0,0,0.00214693125781241
28,0,0,0,0.000221432371881998,0,0,0,0,0,0,0.000765385807157339,0.0318236828372149,0,0,0.127530604962386,5.29512193630864e-05,0,0,0,0,0.00781752547687748,0,0,0,0,0,0,0.014831155168879
29,0,0,0,0.000105902438726173,0,0,0,0,0,0,0.0019784501052935,0.0251085054725326,0,0,0.203751478361942,6.25787137927384e-05,0,0,0,0,0.00851070507581243,0,0,0,0,0,0,0.089901542984091
30,0,0,0,2.88824832889562e-05,0,0,0,0,0,0,0.00222876496046445,0.0165400354301422,0,0,0.272438837370294,4.33237249334343e-05,0,0,0,0,0.00957454321028898,0,0,0,0,0,0,0.131915928675093
31,0,0,0,0.000101088691511347,0,0,0,0,0,0,0.00119380930927686,0.0323965187557792,0,0,0.683571359494156,3.36962305037822e-05,4.81374721482603e-06,0,0,0,0.00946864077156281,0,0,0,0,0,0,0.587662259985962
32,0,0,0,0.000115529933155825,0,0,0,0,0,0,0.00545878934161272,0.0122413591673026,0,0,0.691273355037878,1.44412416444781e-05,0,0,0,0,0.0111582660439667,0,0,0,0,0,0,0.0382500353690077
33,0,0,0,4.33237249334343e-05,0,0,0,0,0,0,0.00448641240421786,0.0110234811219516,0,0,0.626475503779104,2.40687360741302e-05,4.81374721482603e-06,0,0,0,0.0166700066049426,0,0,0,0,0,0,0.11371996420305
34,0,0,0,4.81374721482603e-05,0,0,0,0,0,0,0.00528549444187898,0.0155580309983177,0,0,0.300435591171722,9.62749442965207e-06,0,0,0,0,0.015938317028289,0,0,0,0,0,0,0.0628867936144873
35,0,0,0,0.000226246119096824,0,0,0,0,0,0,0.00718692459173527,0.0206028380794554,4.81374721482603e-06,0,0.183904398595214,4.81374721482603e-06,3.85099777186083e-05,0,0,0,0.012838263821941,0,0,0,0,0,0,0.012645713933348
36,0,0,0,0.000250314855170954,0,0,0,0,0,0,0.00480893346761121,0.0110186673747368,0,0,0.160808039458478,4.81374721482603e-06,1.92549888593041e-05,0,0,0,0.0159046207977852,0,0,0,0,0,0,0.00706176716414979
37,0,0,0,4.81374721482603e-05,0,0,0,0,0,0,0.00442383369042512,0.0123280066171695,0,0,0.178099019454134,1.44412416444781e-05,2.40687360741302e-05,0,0,0,0.0169540176906173,0,0,0,0,0,0,0.0043083037572693
38,0,0,0,7.22062082223905e-05,0,0,0,0,0,0,0.00638784255407415,0.0200925808746839,0,0,0.120618063961896,0,2.88824832889562e-05,0,0,0,0.014638605280286,0,0,0,0,0,0,0.00258016850714675
39,0,0,0,8.66474498668686e-05,0,0,0,0,0,0,0.00250796229892436,0.0307068934833753,0,0,0.114355378835407,4.81374721482603e-06,1.44412416444781e-05,0,0,0,0.0143112704696778,0,0,0,0,0,0,0.00272458092359153
40,0,0,0,4.33237249334343e-05,0,0,0,0,0,0,0.00100607316789864,0.0294745741963798,0,0,0.0930689886514465,0,2.88824832889562e-05,0,0,0,0.0127131063943556,0,0,0,0,0,0,0.00240205986019819
41,0,0,0,4.33237249334343e-05,0,0,0,0,0,0,0.000481374721482603,0.0395064233920773,0,0,0.0824594897899699,9.62749442965207e-06,4.81374721482603e-06,0,0,0,0.0130741374354675,0,0,0,0,0,0,0.00219506872996067
42,0,0,0,6.25787137927384e-05,0,0,0,0,0,0,0.000510257204771559,0.038683272618342,0,0,0.106494529633596,1.44412416444781e-05,4.81374721482603e-06,0,0,0,0.0119621618288427,0,0,0,0,0,0,0.00251758979335402
43,0,0,0,8.66474498668686e-05,0,0,0,0,0,0,0.000375472282756431,0.0275490753104494,0,0,0.123857715837474,4.81374721482603e-06,9.62749442965207e-06,0,0,0,0.0122124766840136,0,0,0,0,0,0,0.00224801994932376
44,0,0,0,0.000197363635807867,0,0,0,0,0,0,0.000394727271615735,0.0142920154808185,0,0,0.240504438347138,9.62749442965207e-06,0,0,0,0,0.0116155720293752,0,0,0,0,0,0,0.00216618624667171
45,0,0,0,0.00273902216523601,0,0,0,0,0,0,0.000476560974267777,0.0320739976923859,0,0,0.252139265365373,0,9.62749442965207e-06,0,0,0,0.0127419888776445,0,0,0,0,0,0,0.00209879378566415
46,0,0,0,0.000803895784875948,0,0,0,0,0,0,0.000635414632357036,0.118764771284188,0,0,0.31738960886234,0,0,0,0,0,0.016352299288764,0,0,0,0,0,0,0.00239724611298336
47,0,0,0,0.000293638580104388,0,0,0,0,0,0,0.00125638802306959,2.39265379814042,0,0,5.97641157962297,1.44412416444781e-05,9.62749442965207e-06,0,0,0,0.032319498800342,0,0,0,0,0,0,0.00475116850103329
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0.00388469400236461,0,0,0,0,0,0,0.0142535055030999,25.8788253705851,1.44412416444781e-05,0,44.8760236252937,0.000129971174800303,9.62749442965207e-06,0,0,0,0.221432371881998,0,0,0,0,0,0,0.0551607293346915
