taglen,crossmapped,snRNA,rmsk_Simple_repeat,Satellite,rmsk_RNA,Intron,LTR,tRNA,precursor,Unknown,rRNA,rmsk_Low_complexity,snoRNA,mature,srpRNA,rmsk_DNA,rmsk_Other,p5_UTR,LINE,No_CDS,SINE,scRNA,Coding_Exon,star,unannotated,stemloop,p3_UTR,rmsk_Unknown
12,0,0,0,0,0,0.000228188903726531,0,0,0,0.000228188903726531,0,0,0,0,0,0,0,8.77649629717427e-06,0,0,0,0,1.75529925943485e-05,0,0,0,0,0
13,0,0,0,0,0,0.00102685006676939,0,0,0,0.00881599053051156,0,0,0,0,0,0,0,8.77649629717427e-05,0,0,0,0,0.000210635911132183,0,1.75529925943485e-05,0,4.82707296344585e-05,0
14,0,0,0,0,0,0.0017070285298004,0,0,0,0.0203526949131471,0,0,0,2.19412407429357e-05,0,0,0,0.000311565618549687,0,0,0,0,0.000605578244505025,0,4.38824814858714e-06,0,9.21532111203298e-05,0
15,0,0,0,0,0,0.00265489012989522,0,0,0,0.0424431360931348,0,0,0,0.000100929707417504,0,0,0,0.000307177370401099,0,0,0,0,0.00151833385941115,0,3.94942333372842e-05,4.38824814858714e-06,0.000394942333372842,0
16,0,0,0,0,0,0.00501137938568651,0,0,0,0.0469191492046937,0,0,0,0.000789884666745684,0,0,0,0.000504648537087521,0,0,0,0,0.00254518392618054,0,8.33767148231556e-05,1.31647444457614e-05,0.000890814374163188,0
17,0,0,0,0,0,0.00513863858199554,0,0,0,0.0357949401480253,0,0,0,0.00641123054508581,0,0,0,0.000434436566710126,0,0,0,0,0.00301911472622795,0,0.000320342114846861,8.77649629717427e-06,0.000860096637123079,0
18,1.31647444457614e-05,0,0,0,0,0.00689393784143039,0,0,4.38824814858714e-06,0.0460985468009079,0,0,0,0.0146918548014697,0,0,0,0.000548531018573392,0,0,0,0,0.00292696151510762,0,0.000737225688962639,8.77649629717427e-06,0.000772331674151336,0
19,7.89884666745684e-05,0,0,0,0,0.00438824814858714,0,0,0,0.0449663787785724,0,0,0,0.0464759361416864,0,0,0,0.000412495325967191,0,0,0,0,0.0029006320262161,0,0.002593454655815,3.071773704011e-05,0.00087326138156884,0
20,0.000267683137063815,0,0,0,0,0.00525712128200739,0,0,8.77649629717427e-06,0.054036887701702,0,0,0,0.242968523490973,0,0,0,0.000509036785236108,0,0,0,0,0.00278653757435283,0,0.0135640750272828,4.38824814858714e-06,0.00104879130751233,0
21,0.00172896977054333,0,0,0,0,0.0203614714094443,0,0,4.38824814858714e-06,0.087176937719832,0,0,0,1.52759745125282,0,0,0,0.000517813281533282,0,0,0,0,0.00319903290032002,0,0.0459756758527474,0,0.00101368532232363,0
22,0.000272071385212402,0,0,0,0,0.0604700594875307,0,0,0,0.0883529882236534,0,0,0,2.63415565739314,0,0,0,0.000513425033384695,0,0,0,0,0.0034096688114522,0,0.088686495082946,5.26589777830456e-05,0.0014656748816281,0
23,0.000390554085224255,0,0,0,0,0.0110145028529537,0,0,0,0.0687462954957661,0,0,0,0.701171842173847,0,0,0,0.000443213063007301,0,0,0,0,0.00357642224109852,0,0.0564504241834249,8.77649629717427e-06,0.00165436955201735,0
24,4.38824814858714e-06,0,0,0,0,0.00505087361902379,0,0,0,0.0448873903118978,0,0,0,0.167025501031524,0,0,0,0.000399330581521429,0,0,0,0,0.00362908121888156,0,0.0162233534053266,4.38824814858714e-06,0.00123748597790157,0
25,0,0,0,0,0,0.00588025251910676,0,0,0,0.0377740400630381,0,0,0,0.0108477494233074,0,0,0,0.000412495325967191,0,0,0,0,0.00350621027072112,0,0.000741613937111226,0,0.00121554473715864,0
26,0,0,0,0,0,0.0075741163044614,0,0,0,0.0486700602159799,0,0,0,0.00223361830763085,0,0,0,0.000355448100035558,0,0,0,0,0.00328240961514318,0,0.000675790214882419,0,0.00305860895956523,0
27,0,0,0,0,0,0.0140160645865873,0,0,0,0.107959680951541,0,0,0,0.000254518392618054,0,0,0,0.000772331674151336,0,0,0,0,0.00349304552627536,0,0.000105317955566091,0,0.0012945332038332,0
28,0,0,0,0,0,0.0210153203835838,0,0,0,0.0811606495081191,0,0,0,1.75529925943485e-05,0,0,0,0.000351059851886971,0,0,0,0,0.00319025640402285,0,4.82707296344585e-05,0,0.00147883962607386,0
29,0,0,0,0,0,0.013318333130962,0,0,0,0.0935135680463919,0,0,0,5.26589777830456e-05,0,0,0,0.000447601311155888,0,0,0,0,0.00306738545586241,0,2.63294888915228e-05,0,0.00581442879687795,0
30,0,0,0,0,0,0.0100885824936018,0,0,0,0.109258602403523,0,0,0,3.51059851886971e-05,0,0,0,0.000579248755613502,0,0,0,0,0.00339650406700644,0,3.51059851886971e-05,0,0.00154466334830267,0
31,0,0,0,0,0,0.0152272210755974,0,0,0,0.0883705412162477,0,0,0,0.000118482700011853,0,0,0,0.000355448100035558,0,0,0,0,0.00341844530774938,0,3.51059851886971e-05,0,0.00372562267815048,0
32,0,0,0,0,0,0.0183604302536886,0,0,0,0.128049080975773,0,0,0,0.000131647444457614,0,0,0,0.00373001092629906,0,0,0,0,0.00316392691513132,0,4.38824814858714e-06,0,0.0045023426004504,0
33,0,0,0,0,0,0.0397487517299023,0,0,0,0.343845571930694,0,0,0,4.82707296344585e-05,0,0,0,0.00127259196309027,0,0,0,0,0.00301911472622795,0,1.75529925943485e-05,4.38824814858714e-06,0.0139151348791698,0
34,0,0,0,0,0,0.0426801014931585,0,0,0,0.264677187082033,0,0,0,7.02119703773942e-05,0,0,0,0.00460327230786791,0,0,0,0,0.00335262158552057,0,8.77649629717427e-06,1.31647444457614e-05,0.00281725531139294,0
35,0,0,0,0,0,0.0242933417505784,0,0,0,0.35280198640196,0,0,0,0.000114094451863266,0,0,0,0.00620498288210221,0,0,0,0,0.00294890275585056,0,1.31647444457614e-05,4.38824814858714e-05,0.0177329107684406,0
36,0,0,0,0,0,0.0151087383755855,0,0,0,0.105923533810596,0,0,0,0.000140423940754788,0,0,0,0.000609966492653612,0,0,0,0,0.00300594998178219,0,0,4.38824814858714e-06,0.010702937234404,0
37,0,0,0,0,0,0.0156177751608216,0,0,0,0.0684347298772164,0,0,0,6.5823722228807e-05,0,0,0,0.000570472259316328,0,0,0,0,0.00281725531139294,0,1.75529925943485e-05,3.51059851886971e-05,0.00105317955566091,0
38,0,0,0,0,0,0.0214102627169566,0,0,0,0.0819066516933789,0,0,0,3.51059851886971e-05,0,0,0,0.000337895107441209,0,0,0,0,0.00287430253732457,0,4.38824814858714e-06,0,0.000860096637123079,0
39,0,0,0,0,0,0.0249076964913806,0,0,0,0.083977904819512,0,0,0,4.82707296344585e-05,0,0,0,0.000320342114846861,0,0,0,0,0.00287430253732457,0,0,2.19412407429357e-05,0.00104001481121515,0
40,0,0,0,0,0,0.0256098161951545,0,0,0,0.0739375930555446,0,0,0,2.19412407429357e-05,0,0,0,0.000294012625955338,0,0,0,0,0.00285674954473023,0,0,8.77649629717427e-06,0.000982967585283518,0
41,0,0,0,0,0,0.0497539575086809,0,0,4.38824814858714e-06,0.0767153541336003,0,0,0,9.21532111203298e-05,0,0,0,0.000228188903726531,0,0,0,0,0.00275143158916413,0,0,4.38824814858714e-06,0.000776719922299923,0
42,0,0,0,0,0,0.0269570083767708,0,0,4.38824814858714e-06,0.103132607988095,0,0,0,1.31647444457614e-05,0,0,0,0.000175529925943485,0,0,0,0,0.00262856064100369,0,0,4.38824814858714e-06,0.000838155396380143,0
43,0,0,0,0,0,0.0208441787057889,0,0,4.38824814858714e-06,0.117644544615473,0,0,0,1.75529925943485e-05,0,0,0,0.000193082918537834,0,0,0,0,0.00258906640766641,0,4.38824814858714e-06,1.31647444457614e-05,0.00125942721864451,0
44,0,0,0,0,0,0.0175793220832401,0,0,0,0.169746214883648,0,0,0,0.000109706203714678,0,0,0,0.000241353648172292,0,0,0,0,0.00253640742988336,0,8.77649629717427e-06,8.77649629717427e-06,0.00187817020759529,0
45,0,0,0,0,0,0.0591053143133201,0,0,0,0.129146143012919,0,0,0,0.000917143863054711,0,0,0,0.000219412407429357,0,0,0,0,0.00335700983366916,0,8.77649629717427e-06,4.38824814858714e-06,0.0010575678038095,0
46,0,0,0,0,0,0.254123450284681,0,0,0,0.385573423575609,0,0,0,0.00021502415928077,0,0,0,0.000715284448219703,0,0,0,0,0.00448478960785605,0,0,0,0.00117166225567277,0
47,0,0,0,0,0,2.65989712103275,0,0,8.77649629717427e-06,6.49844258879083,0,0,0,0.000144812188903375,0,0,0,0.00081182590748862,0,0,0,0,0.0107687609566328,0,4.38824814858714e-06,0,0.00309371494475393,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,27.5158517784933,0,0,0,52.7608246343262,0,0,0,0.00509914434865825,0,0,0,0.0336227573144746,0,0,0,0,0.0999379633359234,0,0.000105317955566091,1.31647444457614e-05,0.0953390792762041,0
