taglen,crossmapped,Coding_Exon,rmsk_Other,LINE,srpRNA,rmsk_DNA,tRNA,SINE,snoRNA,mature,star,Unknown,stemloop,precursor,rmsk_Unknown,LTR,rmsk_Low_complexity,scRNA,unannotated,rRNA,rmsk_RNA,Satellite,snRNA,p5_UTR,rmsk_Simple_repeat,Intron,p3_UTR,No_CDS
12,0,0,0,0,0,0,0,0,0,0,0,4.28805939476829e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57338282897357e-06,0,0
13,0,2.14402969738414e-05,0,0,0,0,0,0,0,0,0,0.00256568887120303,0,0,0,0,0,0,0,0,0,0,0,1.07201484869207e-05,0,0.000178669141448679,0,0
14,0,0.000160802227303811,0,0,0,0,0,0,0,0,0,0.00857611878953658,0,0,0,0,0,0,3.57338282897357e-06,0,0,0,0,3.57338282897357e-05,0,0.000371631814213252,2.5013679802815e-05,0
15,0,0.000543154190003983,0,0,0,0,0,0,0,7.14676565794715e-06,0,0.0112704494425827,0,0,0,0,0,0,0,0,0,0,0,5.71741252635772e-05,0,0.00045024623645067,4.28805939476829e-05,0
16,0,0.000800437753690081,0,0,0,0,0,0,0,0.000360911665726331,0,0.0134573597339145,0,3.57338282897357e-06,0,0,0,0,1.78669141448679e-05,0,0,0,0,0.000142935313158943,0,0.000896919090072367,0.00015008207881689,0
17,0,0.0013793257719838,0,0,0,0,0,0,0,0.00123281707599588,0,0.0222014275164128,0,0,0,0,0,0,6.43208909215243e-05,0,0,0,0,0.000121495016185102,0,0.00116492280224539,0.000214402969738414,0
18,0,0.00187602598521113,0,0,0,0,0,0,0,0.00230840530751693,0,0.0605545454197862,0,0,0,0,0,0,0.000571741252635772,0,0,0,0,0.000268003712173018,0,0.00220835058830567,0.000275150477830965,0
19,0,0.0018795993680401,0,0,0,0,0,0,0,0.00582104062839795,0,0.0371953418667859,7.14676565794715e-06,0,0,0,0,0,0.0011899364820482,0,0,0,0,0.000196536055593547,0,0.00117564295073231,0.000321604454607622,0
20,7.14676565794715e-06,0.00218691029133183,0,0,0,0,0,0,0,0.0313242738787824,0,0.029341046408702,0,0,0,0,0,0,0.0037055979936456,0,0,0,0,0.000235843266712256,0,0.00141505960027354,0.000410939025331961,0
21,8.93345707243394e-05,0.00266931697324326,0,0,0,0,0,0,0,0.376327239250523,0,0.022983998355958,3.57338282897357e-06,0,0,0,0,0,0.0528860658688089,0,0,0,0,0.000157228844474837,0,0.00445958177055902,0.00048955344756938,0
22,0,0.00274793139548068,0,0,0,0,0,0,0,1.46089538182078,0,0.0330037638083999,5.36007424346036e-05,0,0,0,0,0,0.00921575431592285,0,0,0,0,0.000278723860659939,0,0.0101198201716532,0.000707529800136768,0
23,0,0.00304809555311446,0,0,0,0,0,0,0,0.13406975036026,0,0.0226266600730607,1.42935313158943e-05,0,0,0,0,0,0.00481692005345638,0,0,0,0,0.000235843266712256,0,0.00411653701897756,0.000793290988032133,0
24,0,0.00340186045318284,0,0,0,0,0,0,0,0.0104700116888926,0,0.0182456927247391,0,0,0,0,0,0,0.00130071134974638,0,0,0,0,0.000293017391975833,0,0.00231912545600385,0.000707529800136768,0
25,0,0.00345188781278847,0,0,0,0,0,0,0,0.00158300859323529,0,0.0272184570082917,0,3.57338282897357e-06,0,0,0,0,0.000139361930329969,0,0,0,0,0.000239416649541229,0,0.00241560679238614,0.000625341995070375,0
26,0,0.00348047487542026,0,0,0,0,0,0,0,8.93345707243394e-05,0,0.0432486523790672,0,0,0,0,0,0,0.000217976352567388,0,0,0,0,0.000293017391975833,0,0.0023798729640964,0.00179741156297371,0
27,0,0.00365199725121099,0,0,0,0,0,0,0,4.64539767766565e-05,0,0.154448752633896,0,0,0,0,0,0,1.42935313158943e-05,0,0,0,0,0.000239416649541229,0,0.00442384794226929,0.000768277308229318,0
28,0,0.00351263532088102,0,0,0,0,0,0,0,3.93072111187093e-05,0,0.079647129874992,0,0,0,0,0,0,1.07201484869207e-05,0,0,0,0,0.000257283563686097,0,0.00544226204852675,0.00101841410625747,0
29,0,0.00393786787752888,0,0,0,0,0,0,0,1.42935313158943e-05,0,0.0845855449446335,0,0,0,0,0,0,2.5013679802815e-05,0,0,0,0,0.000257283563686097,0,0.00320889778041827,0.00594253564458305,0
30,0,0.00443456809075621,0,0,0,0,0,0,0,3.57338282897357e-06,0,0.098718274033224,0,0,0,0,0,0,2.5013679802815e-05,0,0,0,0,0.000214402969738414,0,0.00887628294717036,0.00118278971639025,0
31,0,0.00435595366851879,0,0,0,0,0,0,0,3.57338282897357e-05,0,0.0554231676773801,1.42935313158943e-05,1.42935313158943e-05,0,0,0,0,2.85870626317886e-05,0,0,0,0,0.000225123118225335,0,0.0100769395777055,0.00375562535325123,0
32,0,0.00413083055029345,0,0,0,0,0,0,0,2.14402969738414e-05,0,0.105146789742547,0,0,0,0,0,0,0,0,0,0,0,0.000343044751581463,0,0.00477403945950869,0.00248350106613663,0
33,0,0.00418443129272806,0,0,0,0,0,0,0,0,0,0.191422544765285,0,0,0,0,0,0,2.5013679802815e-05,0,0,0,0,0.000242990032370203,0,0.0908103778327054,0.0192319463855358,0
34,0,0.00581032047991103,0,0,0,0,0,0,0,1.42935313158943e-05,0,0.272541908365814,0,0,0,0,0,0,3.57338282897357e-06,0,0,0,0,0.000521713893030142,0,0.0920253279945565,0.00265145005909839,0
35,0,0.00454534295845439,0,0,0,0,0,0,0,1.42935313158943e-05,0,0.0516961293867607,0,0,0,0,0,0,1.78669141448679e-05,0,0,0,0,0.000382351962700172,0,0.0262572170272978,0.00525287275859115,0
36,0,0.00482049343628535,0,0,0,0,0,0,0,7.14676565794715e-06,0,0.164636467079299,7.14676565794715e-06,0,0,0,0,0,0,0,0,0,0,0.000268003712173018,0,0.00432379322305802,0.00411296363614858,0
37,0,0.00472043871707409,0,0,0,0,0,0,0,1.42935313158943e-05,0,0.0628272168990134,0,0,0,0,0,0,0,0,0,0,0,0.000228696501054309,0,0.00594610902741203,0.00107201484869207,0
38,0,0.00524215261010423,0,0,0,0,0,0,0,1.78669141448679e-05,0,0.0601400330116253,3.57338282897357e-06,0,0,0,0,0,0,0,0,0,0,0.000239416649541229,0,0.00547084911115854,0.000868332027440578,0
39,0,0.00512065759391913,0,0,0,0,0,0,0,3.57338282897357e-05,0,0.0806262367701308,0,0,0,0,0,0,0,0,0,0,0,0.000178669141448679,0,0.0164518545445943,0.00149724740533993,0
40,0,0.00552087647076417,0,0,0,0,0,0,0,2.5013679802815e-05,0,0.10955991753633,0,0,0,0,0,0,0,0,0,0,0,0.000217976352567388,0,0.0253960317655152,0.00118636309921923,0
41,0,0.00483836035043022,0,0,0,0,0,0,0,1.42935313158943e-05,0,0.183293098829371,0,0,0,0,0,0,0,0,0,0,0,0.000225123118225335,0,0.0336326791862993,0.00102913425474439,0
42,0,0.00532434041517063,0,0,0,0,0,0,0,7.14676565794715e-06,0,0.242639840852964,0,0,0,0,0,0,0,0,0,0,0,0.000182242524277652,0,0.0188531678056646,0.00120423001336409,0
43,0,0.00529932673536781,0,0,0,0,0,0,0,0,0,0.122088197734711,0,0,0,0,0,0,0,0,0,0,0,0.000275150477830965,0,0.0239130778914912,0.000979106895138759,0
44,0,0.00543868866569778,0,0,0,0,0,0,0,0,0,0.464107388444259,0,7.14676565794715e-06,0,0,0,0,0,0,0,0,0,0.000228696501054309,0,0.00608904434057097,0.00102556087191542,0
45,0,0.00645710277195525,0,0,0,0,0,0,0,0.000178669141448679,0,0.451489773675153,0,0,0,0,0,0,0,0,0,0,0,0.000307310923291727,0,0.0134895201793752,0.00120423001336409,0
46,0,0.0130392739429246,0,0,0,0,0,0,0,2.85870626317886e-05,0,0.248217891448991,0,0,0,0,0,0,0,0,0,0,0,0.000493126830398353,0,0.0346796803551885,0.00180455832863165,0
47,0,0.0288443461954747,0,0,0,0,0,0,0,2.14402969738414e-05,0,3.5628413496281,7.14676565794715e-06,1.07201484869207e-05,0,0,0,0,0,0,0,0,0,0.00118278971639025,0,2.47952389104799,0.00510636406260324,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0.248943288163273,0,0,0,0,0,0,0,0.000232269883883282,0,75.9107650551889,3.57338282897357e-06,7.50410394084451e-05,0,0,0,0,6.43208909215243e-05,0,0,0,0,0.00961954657559686,0,11.298021664491,0.046657659597908,0
