taglen,crossmapped,SINE,Intron,mature,tRNA,scRNA,rmsk_Simple_repeat,No_CDS,Satellite,rmsk_Low_complexity,rmsk_Other,rmsk_DNA,p5_UTR,precursor,star,Unknown,unannotated,LTR,p3_UTR,rmsk_Unknown,snRNA,rmsk_RNA,stemloop,Coding_Exon,srpRNA,rRNA,LINE,snoRNA
12,0,0,0.000102956247953101,0,0,0,0,0,0,0,0,0,6.86374986354007e-06,0,0,0.000106388122884871,3.43187493177004e-06,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0.000713829985808168,0,0,0,0,0,0,0,0,0,7.20693735671708e-05,0,0,0.00445457366143751,2.40231245223903e-05,0,3.43187493177004e-05,0,0,0,0,0.000202480620974432,0,0,0,0
14,0,0,0.00151002496997882,1.71593746588502e-05,0,0,0,0,0,0,0,0,0.000168161871656732,0,0,0.0181855052634494,2.05912495906202e-05,0,0.000120115622611951,0,0,0,3.43187493177004e-06,0.00103299435446278,0,0,0,0
15,0,0,0.00352110367999606,0.000284845619336913,0,0,0,0,0,0,0,0,0.000411824991812404,0,0,0.0218164289412621,2.74549994541603e-05,0,0.000604009987991526,0,0,0,3.43187493177004e-06,0.0035622861791773,0,0,0,0
16,0,0,0.00790360796786639,0.00145854684600227,0,0,0,0,0,0,0,0,0.000682943111422237,0,0,0.0326817449752461,7.89331234307108e-05,0,0.00164043621738608,0,0,0,1.71593746588502e-05,0.0060812823790965,0,0,0,0
17,0,0,0.00735450797878319,0.0109442491574146,0,0,0,0,0,0,0,0,0.000779035609511798,6.86374986354007e-06,0,0.0387527317295473,0.000545668114151436,0,0.00214492183235627,0,0,0,7.55012484989408e-05,0.00805117858993251,0,0,0,0
18,3.43187493177004e-06,0,0.00849389045613084,0.0166892077931977,0,0,0,0,0,0,0,0,0.000885423732396669,3.43187493177004e-06,0,0.0398543635826454,0.000576554988537366,0,0.00242976745169319,0,0,0,1.02956247953101e-05,0.0094376560623676,0,0,0,0
19,6.86374986354007e-05,0,0.00676765736545051,0.0591586600738519,0,0,0,0,0,0,0,0,0.000621169362650377,0,0,0.0354924505443657,0.00377506242494704,0,0.00262195244787231,0,0,0,1.37274997270801e-05,0.00907044544466821,0,0,0,0
20,0.000195616871110892,0,0.00632837737418395,0.305611894549054,0,0,0,0,0,0,0,0,0.000569691238673826,3.43187493177004e-06,0,0.094153488753111,0.0179418421432938,0,0.0030234818148894,0,0,0,0,0.00923860731632494,0,0,0,0
21,0.00131097622393615,0,0.0369681567650268,2.50200155525708,0,0,0,0,0,0,0,0,0.000549099989083206,3.43187493177004e-06,0,0.067992306148228,0.0688983211302153,0,0.00351423993013252,0,0,0,6.86374986354007e-06,0.00934156356427804,0,0,0,0
22,5.14781239765505e-05,0,0.135764972300823,6.10498977112517,0,0,0,0,0,0,0,0,0.000641760612240997,0,0,0.0894792750960402,0.130013149915176,0,0.00400499804537563,0,0,0,4.80462490447805e-05,0.00891944294767033,0,0,0,0
23,6.52056237036307e-05,0,0.0158278071853234,1.11083957354012,0,0,0,0,0,0,0,0,0.000552531864014976,0,0,0.119923437615772,0.0551262070290221,0,0.00453350678486822,0,0,0,1.02956247953101e-05,0.0093003810650968,0,0,0,0
24,6.86374986354007e-06,0,0.00593714363196216,0.232972829743209,0,0,0,0,0,0,0,0,0.000538804364287896,0,0,0.0376305086268584,0.0348232349326706,0,0.00368926555165279,0,0,0,6.86374986354007e-06,0.0090601498198729,0,0,0,0
25,0,0,0.0061156011284142,0.00741628172755505,0,0,0,0,0,0,0,0,0.000737853110330558,0,0,0.0275751150767722,0.00095406123103207,0,0.00354512680451845,0,0,0,0,0.00961268168388787,0,0,0,0
26,0,0,0.00837034295858712,0.0025087005751239,0,0,0,0,0,0,0,0,0.00144481934627519,3.43187493177004e-06,0,0.0534102695631371,0.00110849560296172,0,0.00621855737636731,0,0,0,0,0.010014211050905,0,0,0,0
27,0,0,0.0183570990100379,0.000628033112513917,0,0,0,0,0,0,0,0,0.00207628433372087,0,0,0.105698316023585,0.000140706872202571,0,0.0047874655298192,0,0,0,0,0.00963327293347849,0,0,0,0
28,0,0,0.0511692552326912,0.000319164368654613,0,0,0,0,0,0,0,0,0.000579986863469136,0,0,0.107136271619997,4.46143741130105e-05,0,0.0165931152951081,0,0,0,0,0.0106010616642376,0,0,0,0
29,0,0,0.0349261911806237,0.000154434371929652,0,0,0,0,0,0,0,0,0.00142422809668457,0,0,0.0817678521243529,3.77506242494704e-05,0,0.0179143871438396,0,0,0,0,0.0107932466604168,0,0,0,0
30,0,0,0.0168367784152638,0.000130411247407261,0,0,0,0,0,0,0,0,0.001626708717659,0,0,0.0770387284683738,3.43187493177004e-05,0,0.0107143135369861,0,0,0,3.43187493177004e-06,0.0116718066429499,0,0,0,0
31,0,0,0.0231205414153347,0.000151002496997882,0,0,0,0,0,0,0,0,0.000590282488264446,0,0,0.119343450752303,8.92287482260209e-05,0,0.0571647407384935,0,0,0,0,0.0116923978925405,0,0,0,0
32,0,0,0.0163185653005665,0.000147570622066112,0,0,0,0,0,0,0,0,0.00315732493722843,0,0,0.177469116471692,3.77506242494704e-05,0,0.0187551965021233,0,0,0,0,0.0115448272704744,0,0,0,0
33,0,0,0.0344937749392206,0.000161298121793192,0,0,0,0,0,0,0,0,0.00327744055984038,0,0,0.180863240779213,6.86374986354007e-06,0,0.0949634112370087,0,0,0,0,0.0130994666145662,0,0,0,0
34,0,0,0.0400637079534834,0.000120115622611951,0,0,0,0,0,0,0,0,0.00606755487936942,0,0,0.204138216566477,3.43187493177004e-06,0,0.0586610382087452,0,0,0,6.86374986354007e-06,0.013954003472577,0,0,0,0
35,0,0,0.0374417555056111,0.000243663120155673,0,0,0,0,0,0,0,0,0.00627346737527563,6.86374986354007e-06,0,0.239211978369167,3.43187493177004e-06,0,0.0293322350418385,0,0,0,6.52056237036307e-05,0.0127665747461845,0,0,0,0
36,0,0,0.0170667140356924,0.000394665617153554,0,0,0,0,0,0,0,0,0.00133499934845854,0,0,0.176092934624052,6.86374986354007e-06,0,0.0568181213703847,0,0,0,6.52056237036307e-05,0.0128763947440012,0,0,0,0
37,0,0,0.0170049402869205,6.86374986354007e-05,0,0,0,0,0,0,0,0,0.00158209434354599,0,0,0.110036205937343,0,0,0.00395351992139908,0,0,0,5.49099989083206e-05,0.0129347366178413,0,0,0,0
38,0,0,0.0184772146326499,7.55012484989408e-05,0,0,0,0,0,0,0,0,0.00091287873185083,6.86374986354007e-06,0,0.0806593565213912,3.43187493177004e-06,0,0.00380938117426474,0,0,0,3.08868743859303e-05,0.0124027960034169,0,0,0,0
39,0,0,0.0322218737343889,5.49099989083206e-05,0,0,0,0,0,0,0,0,0.000806490608965959,3.43187493177004e-06,0,0.0883398926186925,1.02956247953101e-05,0,0.00455752990939061,0,0,0,1.02956247953101e-05,0.0132161503622464,0,0,0,0
40,0,0,0.0345830036874467,6.17737487718607e-05,0,0,0,0,0,0,0,0,0.000638328737309227,6.86374986354007e-06,0,0.110815241546854,0,0,0.00430013928950786,0,0,0,3.08868743859303e-05,0.0130857391148391,0,0,0,0
41,0,0,0.0590042257019222,7.89331234307108e-05,0,0,0,0,0,0,0,0,0.000504485614970195,0,0,0.0762253741095443,3.43187493177004e-06,0,0.00372015242603872,0,0,0,0,0.0127837341208434,0,0,0,0
42,0,0,0.0366627198960993,2.74549994541603e-05,0,0,0,0,0,0,0,0,0.000346619368108774,0,0,0.0804397165257579,0,0,0.00362749180288093,0,0,0,6.86374986354007e-06,0.0120870635096941,0,0,0,0
43,0,0,0.030399548145619,3.08868743859303e-05,0,0,0,0,0,0,0,0,0.000422120616607714,3.43187493177004e-06,0,0.1017139092278,3.43187493177004e-06,0,0.0034593299312242,0,0,0,6.86374986354007e-06,0.0114658941470437,0,0,0,0
44,0,0,0.023549525781806,0.000123547497543721,0,0,0,0,0,0,0,0,0.000504485614970195,0,0,0.168302578528934,3.43187493177004e-06,0,0.00455066615952707,0,0,0,0,0.0121213822590118,0,0,0,0
45,0,0,0.0558537645145573,0.00245035870128381,0,0,0,0,0,0,0,0,0.000456439365925415,0,0,0.102269872966747,0,0,0.00409765866853342,0,0,0,0,0.0136931809777624,0,0,0,0
46,0,0,0.233333176611045,0.000120115622611951,0,0,0,0,0,0,0,0,0.000724125610603478,0,0,0.355895726049348,6.86374986354007e-06,0,0.00526792802026701,0,0,0,1.71593746588502e-05,0.0165862515452446,0,0,0,0
47,0,0,2.67390760246437,0.000161298121793192,0,0,0,0,0,0,0,0,0.00143109184654811,6.86374986354007e-06,0,7.9038241759871,0,0,0.0106868585375319,0,0,0,3.43187493177004e-06,0.0365597636481462,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,32.9539235442098,0.00474971490556973,0,0,0,0,0,0,0,0,0.0205740902159614,2.40231245223903e-05,0,39.9518700132069,0.000161298121793192,0,0.107403957864675,0,0,0,3.43187493177004e-06,0.311068575690568,0,0,0,0
