,Gene,X1_1PP,X10_1KD,X10TB,X11DA_H,X11SLS,X12_2SST,X12HR,X13MF,X15BB,X16_2BP,X17LB,X18TD,X1WV,X2CW,X3RY,X4HB,X4MH,X5SW,X6_1PH,X6SB,X7_1GG,X7GH,X8CB,X8RP,X9CG,X9CW,XJB1
1,cfa-let-7a.MIMAT0006594,18413,3949,11800,41602,8396,17819,18308,15386,5416,6135,38577,14876,9258,8217,26531,20849,28938,23792,28579,3154,26391,15621,6432,25954,7406,4084,39280
2,cfa-let-7b.MIMAT0009836,9322,1142,8158,24864,5400,4003,7730,8230,3229,3773,21869,5361,3872,5035,14876,14397,9475,9349,10746,1691,15720,8881,4600,17496,5804,3651,5162
3,cfa-let-7c.MIMAT0006669,2028,926,1849,14779,1205,2141,2429,2464,1052,717,5900,2702,3486,2970,4561,3811,5416,3801,4856,562,6294,2203,1511,4423,1300,2615,2979
4,cfa-let-7d.MIMAT0034396,235,24,118,10,211,147,106,100,126,246,77,29,5,8,34,274,61,59,78,115,28,116,27,290,271,8,84
5,cfa-let-7e.MIMAT0006608,645,237,616,552,939,415,669,1374,308,688,1573,781,127,161,528,2062,836,772,876,260,733,636,216,2509,1020,69,583
6,cfa-let-7f.MIMAT0006610,7807,31600,14003,78100,3868,23718,20145,13564,4627,4013,23548,16005,18769,13698,40467,17088,65737,39003,49085,3069,39561,19683,6453,27932,5354,7281,17739
7,cfa-let-7g.MIMAT0006637,11938,19469,26060,87166,13063,29646,37797,24833,2516,9176,24693,27770,3322,5155,51476,42250,135919,73434,74172,1987,80152,24074,12947,51878,12926,3377,17510
8,cfa-let-7j.MIMAT0006763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,cfa-mir-1.MIMAT0006656,7,535,125,282,41,240,192,184,30,36,228,54,15,21,95,347,528,490,426,6,260,51,54,342,87,25,52
10,cfa-mir-101.MIMAT0006600,832,26300,5976,34170,2010,5019,4308,1324,485,530,8108,2720,3068,1403,16800,5477,52945,72223,53201,377,23743,3779,4647,11237,3218,1933,990
11,cfa-mir-103.MIMAT0006687,656,1262,2496,5184,1536,1855,2472,2138,87,491,1225,1743,122,339,1262,3675,6124,5966,5132,71,4059,866,869,5759,1191,256,1193
12,cfa-mir-105a.MIMAT0009879,1,1,0,3,2,1,2,2,2,0,18,1,1,0,2,3,6,4,2,1,6,3,2,7,0,0,3
13,cfa-mir-105b.MIMAT0010198,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0
14,cfa-mir-106a.MIMAT0006749,4,1,25,14,10,2,24,11,0,3,8,12,0,1,5,17,18,19,25,0,14,0,4,29,9,1,6
15,cfa-mir-106b.MIMAT0006695,30,45,331,354,65,55,177,66,3,9,188,128,7,2,86,265,390,1097,436,0,250,11,130,648,74,6,60
16,cfa-mir-107.MIMAT0006666,120,267,743,1043,292,251,457,223,26,63,179,321,41,75,341,654,1302,1810,1046,28,1125,196,233,1398,287,40,132
17,cfa-mir-10a.MIMAT0006737,3476,16937,8904,26144,2418,10284,20204,6536,6930,3199,47330,8275,6591,8415,19962,13981,24923,21879,27294,2881,17080,9899,4521,30171,4054,5612,6253
18,cfa-mir-10b.MIMAT0009837,316,922,1301,960,594,731,2671,2134,661,288,20458,821,553,695,1037,5832,690,617,2014,688,1086,1723,318,6363,881,627,786
19,cfa-mir-1185.MIMAT0034383,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,1,0,0,0,0,0,1,5,0,1
20,cfa-mir-1199.MIMAT0031123,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1
21,cfa-mir-1199.MIMAT0031124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
22,cfa-mir-122.MIMAT0006619,334881,193954,303935,1676448,201093,820849,311419,117042,243695,164126,586785,261944,835697,280228,1361455,445202,1409157,853641,1069282,174323,1094860,637232,263302,366034,225870,164900,417766
23,cfa-mir-124.MIMAT0006657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
24,cfa-mir-1249.MIMAT0034321,58,0,32,12,36,7,20,8,3,25,64,11,0,3,17,91,3,13,61,19,49,22,8,81,132,1,7
25,cfa-mir-125a.MIMAT0006609,2587,152,2083,719,1480,1669,4138,5374,1088,1535,26208,2207,72,151,788,5813,793,1015,1472,492,1147,2378,497,11130,1912,62,2562
26,cfa-mir-125b.MIMAT0006670,2444,422,4500,2955,3183,3456,4828,4958,551,1875,19813,2814,129,407,1735,9821,3385,3438,3723,536,4354,3218,1698,13695,3663,207,1959
27,cfa-mir-126.MIMAT0006730,45,124,600,1027,94,153,468,263,22,32,650,237,23,16,482,573,1249,2497,1664,7,1094,73,185,1533,254,9,56
28,cfa-mir-127.MIMAT0006713,2,12,16,6,23,8,4,22,2,14,17,6,2,5,6,79,11,8,44,13,10,53,2,66,35,4,3
29,cfa-mir-1271.MIMAT0006685,49,12,50,41,30,54,113,113,19,33,236,73,23,20,54,91,46,32,40,13,30,60,11,152,25,15,79
30,cfa-mir-128.MIMAT0006633,1180,176,1431,3863,440,1926,1972,1024,425,487,2553,1729,182,193,2583,2062,1855,1089,1901,179,1984,1110,376,2964,580,97,1602
31,cfa-mir-129.MIMAT0006623,7,7,5,7,7,3,2,20,9,8,4,6,4,9,14,20,2,3,2,18,6,10,1,4,15,2,0
32,cfa-mir-1296.MIMAT0034413,2,10,7,1,28,12,8,0,0,9,11,5,1,4,4,19,3,8,3,11,3,5,3,16,17,2,2
33,cfa-mir-1301.MIMAT0034337,33,2,41,17,36,11,25,24,10,20,38,12,0,6,9,19,12,17,17,3,7,14,5,45,24,0,22
34,cfa-mir-1306.MIMAT0006661,11,21,15,23,24,26,9,10,1,8,15,4,4,35,25,29,21,13,7,1,8,5,22,33,19,45,6
35,cfa-mir-1307.MIMAT0006665,214,37,87,196,120,159,153,26,64,175,259,85,20,26,224,159,104,55,77,60,84,113,79,109,91,7,112
36,cfa-mir-130a.MIMAT0006631,7,117,124,172,7,17,69,41,6,4,155,54,16,10,76,69,182,305,151,4,177,29,49,340,16,16,14
37,cfa-mir-130b.MIMAT0006659,1,0,3,3,0,2,5,1,0,0,2,5,0,0,0,6,2,4,1,0,2,0,1,16,0,0,1
38,cfa-mir-132.MIMAT0006732,19,3,6,3,7,7,21,12,1,4,33,29,1,7,6,28,5,13,5,0,9,8,0,47,11,2,14
39,cfa-mir-133a.MIMAT0009834,1,6,28,20,11,12,30,26,0,3,95,1,1,1,7,153,32,52,34,0,24,5,9,119,11,0,2
40,cfa-mir-133b.MIMAT0009835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,cfa-mir-133c.MIMAT0009833,1,6,28,20,11,12,30,26,0,3,95,1,1,1,7,153,32,52,34,0,24,5,9,120,11,0,2
42,cfa-mir-134.MIMAT0009883,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,0
43,cfa-mir-1343.MIMAT0034357,21,0,20,10,16,14,9,10,11,18,28,9,0,3,10,25,9,9,9,11,3,11,1,37,30,0,8
44,cfa-mir-135a-2.MIMAT0006628,1,4,1,1,2,5,4,4,0,0,12,2,0,3,3,2,2,1,3,1,2,0,0,15,2,1,1
45,cfa-mir-135a.MIMAT0010196,7,63,116,293,17,37,253,67,6,7,405,81,0,4,123,212,107,491,339,1,262,21,27,729,30,1,31
46,cfa-mir-135b.MIMAT0009839,0,2,0,17,1,0,8,4,0,0,7,19,0,2,7,7,4,7,1,0,12,1,0,22,0,0,8
47,cfa-mir-136.MIMAT0006714,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,5,8,0,0,0,0,0,0,0,0
48,cfa-mir-137.MIMAT0006702,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0
49,cfa-mir-138a.MIMAT0006654,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,2,0,2,1,0,2,0,0,9,0,0,0
50,cfa-mir-138b.MIMAT0006646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,cfa-mir-139.MIMAT0006645,16,6,21,14,8,13,11,12,13,9,68,4,6,2,14,21,11,17,20,7,15,7,19,49,15,1,15
52,cfa-mir-140.MIMAT0006689,180,793,987,938,459,358,1126,701,101,208,835,745,174,233,320,1607,1174,1167,855,47,757,542,212,2604,456,254,220
53,cfa-mir-141.MIMAT0009876,0,0,0,0,1,0,3,3,0,0,8,9,0,0,2,0,0,3,10,0,8,3,0,18,0,0,0
54,cfa-mir-142.MIMAT0006736,116,152,1523,914,171,287,1120,858,32,150,438,864,38,24,733,1584,1340,1907,1025,18,808,276,251,3819,282,20,161
55,cfa-mir-143.MIMAT0006682,4946,26105,19575,39212,6627,14899,32292,17845,6755,5262,32482,17723,8758,7103,39689,40662,38738,42970,45686,3231,29820,22099,5218,86021,8326,7897,9336
56,cfa-mir-144.MIMAT0006734,10,34,67,162,4,42,12,152,3,7,38,12,4,1,215,64,98,298,118,1,65,1,25,345,10,1,5
57,cfa-mir-145.MIMAT0009863,204,567,2701,1897,1496,829,4039,2198,89,444,3153,1778,32,268,437,9536,2078,2647,3208,64,2133,518,1099,11648,2218,157,293
58,cfa-mir-1468.MIMAT0034423,3,4,4,8,5,0,8,2,12,5,32,1,14,6,4,4,3,4,5,8,1,13,0,18,3,2,2
59,cfa-mir-146a.MIMAT0006684,551,1280,6444,2661,897,1225,7972,3438,349,1197,4880,4902,200,203,1715,7000,5851,6374,4767,113,3395,2863,755,15956,929,181,1353
60,cfa-mir-146b.MIMAT0006667,260,252,408,2179,56,296,415,857,118,87,1189,1690,124,138,873,1239,1361,697,761,52,644,631,169,701,202,67,1162
61,cfa-mir-147.MIMAT0009874,0,1,0,2,0,1,0,1,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3
62,cfa-mir-148a.MIMAT0006622,35234,4285860,89497,1426958,59369,247504,155927,26738,247400,35553,164476,166384,4287499,1347209,506346,116370,1552874,683667,887330,338722,574395,330514,120125,149112,81084,1524159,45242
63,cfa-mir-148b.MIMAT0006663,209,552,1274,1065,1043,699,1247,745,188,705,728,1206,152,263,756,1719,1979,2359,2108,143,1475,999,267,3142,935,132,347
64,cfa-mir-149.MIMAT0009884,17,2,14,9,7,14,13,14,0,7,42,9,0,0,3,26,4,4,10,2,16,16,5,31,17,3,2
65,cfa-mir-150.MIMAT0006602,110,12,515,39,205,99,618,70,54,242,891,176,6,5,40,1402,52,104,98,20,61,233,54,2073,248,4,193
66,cfa-mir-151.MIMAT0006615,380,481,2173,2201,472,1350,759,270,255,524,2012,729,309,475,3144,2306,3744,2314,2876,303,3722,1312,1066,4601,1080,389,138
67,cfa-mir-152.MIMAT0006738,51,967,572,724,132,237,469,769,42,60,502,584,80,112,410,497,1442,1703,1582,29,654,234,147,1596,155,63,131
68,cfa-mir-153.MIMAT0009840,3,3,7,48,2,0,4,2,0,0,3,9,1,0,26,6,18,24,37,0,50,6,2,16,8,1,1
69,cfa-mir-155.MIMAT0006671,203,100,620,911,82,163,1144,528,213,179,1697,875,102,256,420,1374,440,541,546,44,441,306,176,1975,117,125,398
70,cfa-mir-15a.MIMAT0006647,19,100,324,187,27,46,79,29,3,12,38,52,8,7,127,180,302,654,431,4,342,32,70,799,52,6,17
71,cfa-mir-15b.MIMAT0006676,87,19,321,55,435,125,263,255,6,101,58,91,3,1,18,537,77,188,107,7,66,34,48,775,342,5,23
72,cfa-mir-16.MIMAT0006648,225,518,2378,2489,415,679,1770,881,38,123,1340,1044,44,77,1205,2158,3745,7177,4611,32,2707,277,1142,6071,727,73,370
73,cfa-mir-17.MIMAT0006649,0,3,6,14,4,3,4,4,0,0,9,2,1,0,9,7,11,14,10,0,9,1,2,19,3,0,0
74,cfa-mir-181a.MIMAT0006707,1458,1648,2556,6993,5939,2732,3380,2384,1848,2344,2860,1922,1293,1493,2860,5724,3905,4249,2691,3184,4560,3403,1156,6319,4254,659,302
75,cfa-mir-181b.MIMAT0006708,287,289,766,1760,556,304,871,658,153,310,1104,516,125,409,875,1344,1301,1431,971,140,1380,605,399,1866,479,221,158
76,cfa-mir-181c.MIMAT0006635,0,65,16,15,4,9,13,7,2,9,40,15,2,10,15,30,20,47,35,5,23,17,3,108,7,3,5
77,cfa-mir-181d.MIMAT0006636,12,34,28,78,17,14,40,63,7,18,87,60,8,10,30,91,75,99,77,2,79,47,14,154,22,6,13
78,cfa-mir-182.MIMAT0009841,55,213,147,71,16,6,306,269,62,33,188,301,59,355,19,156,98,156,81,23,156,73,26,337,66,112,186
79,cfa-mir-183.MIMAT0006621,35,22,40,16,22,5,87,117,39,43,82,87,18,20,9,81,17,43,17,28,28,57,4,131,20,17,80
80,cfa-mir-1835.MIMAT0006596,0,1,0,1,0,0,4,0,0,0,0,1,0,0,0,1,2,2,2,0,1,0,0,5,0,0,0
81,cfa-mir-1836.MIMAT0006618,83,10,33,101,9,68,46,52,8,32,49,56,9,8,66,60,60,30,45,3,122,16,90,46,96,24,216
82,cfa-mir-1837.MIMAT0006630,0,0,1,6,0,10,0,0,0,0,1,0,0,0,3,0,2,10,0,0,18,1,15,1,0,2,1
83,cfa-mir-1838.MIMAT0006644,5,0,7,1,12,6,8,3,5,13,6,7,0,0,3,27,5,6,11,1,2,7,0,22,38,0,1
84,cfa-mir-1839.MIMAT0006677,14,29,71,121,19,30,61,51,7,9,35,69,4,14,43,71,111,93,95,0,99,25,27,148,33,16,40
85,cfa-mir-184.MIMAT0009842,0,0,0,0,0,0,0,0,1,0,0,0,9,3,2,0,0,1,0,0,0,2,0,2,0,0,0
86,cfa-mir-1840.MIMAT0006679,6,0,7,1,11,0,3,2,2,4,14,3,0,0,1,2,0,0,3,2,2,5,2,6,12,2,0
87,cfa-mir-1841.MIMAT0006686,0,0,2,2,1,1,0,1,0,1,7,3,1,0,0,1,0,6,1,2,1,6,4,3,4,1,0
88,cfa-mir-1842.MIMAT0006701,8,0,13,7,7,1,3,1,0,4,8,3,0,0,6,16,13,23,7,0,6,0,8,21,7,0,1
89,cfa-mir-1843.MIMAT0006706,25,10,25,1,34,19,31,25,4,17,50,14,0,3,5,43,11,34,39,2,24,16,33,50,34,25,19
90,cfa-mir-1844.MIMAT0006740,1,3,2,0,0,1,5,1,5,1,0,1,3,1,0,10,2,0,1,8,0,5,1,4,3,0,2
91,cfa-mir-185.MIMAT0006660,122,47,437,455,126,289,477,448,28,64,463,331,16,36,240,456,477,411,436,15,479,136,84,984,141,17,446
92,cfa-mir-186.MIMAT0006694,813,885,3926,7353,814,1738,4861,2334,106,269,5015,3616,125,107,2968,5369,6887,9617,6555,43,6048,649,1124,10866,1246,103,1329
93,cfa-mir-187.MIMAT0009843,0,0,1,2,0,1,0,3,0,1,3,0,0,0,0,2,0,0,1,0,0,0,0,3,0,0,0
94,cfa-mir-188.MIMAT0009880,2,0,7,9,4,3,2,2,0,0,0,3,0,0,5,2,3,22,9,0,4,1,1,21,1,0,0
95,cfa-mir-18a.MIMAT0009832,7,0,17,21,5,5,14,11,0,0,17,6,1,0,17,12,18,60,23,0,24,2,19,42,5,0,6
96,cfa-mir-18b.MIMAT0009831,0,0,0,1,2,1,1,0,0,0,4,2,0,0,1,1,0,1,1,0,2,0,0,0,3,0,0
97,cfa-mir-190a.MIMAT0009872,0,0,4,7,0,0,4,0,0,0,0,1,0,0,3,2,7,33,16,0,9,1,2,14,1,0,3
98,cfa-mir-190b.MIMAT0009873,1,4,7,33,3,2,16,7,0,0,14,5,0,3,5,6,9,24,15,0,18,2,1,18,5,3,2
99,cfa-mir-191.MIMAT0006638,7927,1559,7019,14626,7348,7388,11456,8981,563,4459,12069,8077,374,1472,3169,15408,8073,6545,6509,495,7448,4024,2762,14365,6794,1075,6516
100,cfa-mir-192.MIMAT0006632,8008,30105,15873,80890,10444,27946,20094,5174,4303,5570,24890,11459,12664,5670,52537,21048,91773,85429,76399,3548,72628,26360,12146,22221,12137,4847,6438
101,cfa-mir-193a.MIMAT0006735,426,23,195,290,405,138,160,233,58,215,241,103,18,67,210,489,155,143,233,139,185,213,101,345,681,29,86
102,cfa-mir-193b.MIMAT0006699,30,18,18,26,54,45,13,4,13,11,15,8,15,8,17,21,48,23,43,21,19,18,9,23,43,6,22
103,cfa-mir-194.MIMAT0006681,2865,3594,9658,51528,3564,7912,7022,2082,357,535,8128,6280,990,896,17683,11714,31286,48870,36868,417,32604,3734,7474,13431,5664,1007,3100
104,cfa-mir-195.MIMAT0006692,75,192,615,672,323,206,922,627,38,74,1279,441,29,38,442,1038,692,1026,1107,12,916,182,234,1959,307,56,114
105,cfa-mir-196a.MIMAT0006662,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
106,cfa-mir-196b.MIMAT0006620,0,0,2,8,0,0,1,1,0,0,17,2,0,1,1,1,22,5,1,0,1,3,1,6,2,0,0
107,cfa-mir-197.MIMAT0006698,76,43,134,15,202,72,87,47,52,185,94,33,1,4,13,289,83,95,98,63,33,97,31,250,262,4,11
108,cfa-mir-199.MIMAT0006642,2789,4056,18456,21126,5019,6646,19117,27440,544,2180,31541,12538,434,586,12178,26624,30792,37697,30400,230,23210,5794,5242,54590,5628,687,2478
109,cfa-mir-19a.MIMAT0006650,4,3,18,120,3,6,18,13,0,3,14,18,0,0,30,16,99,247,62,0,84,2,16,45,14,1,6
110,cfa-mir-19b.MIMAT0006652,8,59,189,395,44,82,97,81,0,10,158,98,7,4,138,141,542,1408,568,1,337,16,113,494,70,3,11
111,cfa-mir-200a.MIMAT0009865,9,104,8,102,9,10,46,43,40,3,94,41,108,55,28,40,36,41,46,38,55,48,7,82,15,67,26
112,cfa-mir-200b.MIMAT0009864,4,1,4,5,3,4,18,34,5,9,52,11,0,0,6,21,4,3,6,1,2,8,0,24,6,1,17
113,cfa-mir-200c.MIMAT0006664,14,4,27,10,18,10,111,243,15,21,476,58,1,0,15,78,9,17,30,3,44,32,6,419,28,6,159
114,cfa-mir-202.MIMAT0009844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
115,cfa-mir-203.MIMAT0009866,64,75,258,1183,104,126,163,158,13,55,64,146,12,51,377,439,846,420,783,40,581,132,105,306,227,20,56
116,cfa-mir-204.MIMAT0006598,58,46,149,181,58,175,460,124,103,61,1516,110,10,31,169,344,102,173,221,42,141,59,58,393,89,17,79
117,cfa-mir-205.MIMAT0009845,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
118,cfa-mir-206.MIMAT0006606,0,0,0,1,0,0,0,0,0,0,3,1,1,0,0,5,0,6,0,0,1,0,0,2,0,1,1
119,cfa-mir-207.MIMAT0009935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,cfa-mir-208a.MIMAT0009868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,cfa-mir-208b.MIMAT0009869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0
122,cfa-mir-20a.MIMAT0006651,88,287,1094,1784,226,606,665,780,7,41,744,448,21,32,491,1001,4493,5545,4389,16,1657,86,659,2329,343,25,224
123,cfa-mir-20b.MIMAT0009830,3,0,13,9,4,5,17,6,0,3,11,9,0,0,3,12,12,12,25,0,7,0,2,21,5,1,1
124,cfa-mir-21.MIMAT0006741,14603,27585,65165,120481,14838,27371,77848,64157,6279,12076,35319,103495,5375,3485,51691,64933,161910,197260,154819,2096,91887,34116,9695,193185,27529,2891,25355
125,cfa-mir-210.MIMAT0009846,0,2,21,30,15,0,12,13,0,0,13,6,1,1,8,29,22,32,10,0,7,1,1,39,21,0,6
126,cfa-mir-211.MIMAT0009867,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,15,1,0,0
127,cfa-mir-2114.MIMAT0034427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
128,cfa-mir-212.MIMAT0006731,2,0,1,3,2,3,4,3,2,2,6,3,0,0,1,2,4,1,3,3,0,4,0,6,2,0,1
129,cfa-mir-214.MIMAT0009847,69,75,394,192,348,137,382,166,33,136,582,217,6,26,113,868,263,688,598,34,241,111,126,1605,416,12,52
130,cfa-mir-215.MIMAT0009848,7,38,40,219,13,34,25,10,3,28,31,43,2,6,51,18,151,431,94,1,246,19,8,54,17,3,4
131,cfa-mir-216a.MIMAT0009849,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
132,cfa-mir-216b.MIMAT0006592,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
133,cfa-mir-217.MIMAT0009850,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,cfa-mir-218.MIMAT0006672,60,100,197,799,34,103,285,271,14,35,955,1248,17,19,305,310,358,473,469,11,705,124,77,531,109,17,294
