Sample,Date Extraction,Concentration (ng/ul),A260/A280,A260/A230,Tissue,Stabilization,ul miRNA,RIN
1WV,3/26/16,435,1.9,1.8,Healthy Dog Liver,RNA Later,14,2.8
2CW,3/26/16,1083.7,1.75,0.92,Healthy Dog Liver,RNA Later,14,2.8
3RY,3/26/16,224.3,1.93,1.79,Healthy Dog Liver,RNA Later,14,3.7
4MH,3/26/16,2167.3,1.92,1.78,Healthy Dog Liver,RNA Later,14,5.5
5SW,3/26/16,2566.4,1.9,1.76,Healthy Dog Liver,RNA Later,14,5.8
6.1PH,3/26/16,2390.5,1.88,1.37,Healthy Dog Liver,RNA Later,14,4.9
7.1GG,3/26/16,1071.3,1.94,1.89,Healthy Dog Liver,RNA Later,14,6.1
8CB,3/26/16,1296.8,1.84,1.05,Healthy Dog Liver,RNA Later,14,6.9
9CW,3/26/16,1461,1.82,1.1,Healthy Dog Liver,RNA Later,14,2.6
10.1KD,3/26/16,3976.6,1.62,1.51,Healthy Dog Liver,RNA Later,14,5.3
11DA/H,3/26/16,679.8,1.91,1.71,Healthy Dog Liver,RNA Later,14,2.6
12.2SSt,4/29/16,539.9,2.02,0.93,Healthy Dog Liver,RNA Later,14,9.2
1.1PP,4/3/16,47.6,1.86,0.39,Chronic Hepatitis,RNA Later,14,9.4
3.1SF,4/3/16,404.9,1.55,1.09,Chronic Hepatitis,RNA Later,14,1
4HB,4/3/16,1270.7,1.93,1.24,Chronic Hepatitis,RNA Later,14,9.5
5PA,4/3/16,26.1,1.74,0.06,Chronic Hepatitis,RNA Later,14,0
6SB,4/3/16,1182.6,1.86,1.05,Chronic Hepatitis,RNA Later,14,7.1
7GH,4/3/16,651.9,1.92,1.25,Chronic Hepatitis,RNA Later,14,9.5
8RP,4/3/16,601.1,1.94,0.8,Chronic Hepatitis,RNA Later,14,8.9
9CG,4/3/16,1511.9,1.88,1.11,Chronic Hepatitis,RNA Later,14,9.6
10TB,4/3/16,803.5,1.95,1.44,Chronic Hepatitis,RNA Later,14,9.9
11SLS,4/3/16,1426.1,1.96,1.47,Chronic Hepatitis,RNA Later,14,10
12HR,4/3/16,447.6,1.99,1.89,Chronic Hepatitis,RNA Later,14,10
13MF,4/3/16,596.3,1.9,1.18,Chronic Hepatitis,RNA Later,14,10
15BB,4/3/16,381.8,1.82,0.74,Chronic Hepatitis,RNA Later,14,10
16.2BP,4/3/16,656.3,1.86,0.95,Chronic Hepatitis,RNA Later,14,10
17LB,4/3/16,88,1.64,0.19,Chronic Hepatitis,RNA Later,14,2.7
18TD,4/29/16,447.7,1.99,1.89,Chronic Hepatitis,RNA Later,14,9.9
ML1,10/19/16,20.2,1.58,0.06,Chronic Hepatitis,RNA Later,14,2.4
JB1,10/19/16,27.3,1.67,0.23,Chronic Hepatitis,RNA Later,14,2.1
ZP1,10/19/16,48,1.54,0.33,Chronic Hepatitis,RNA Later,14,1
AK1,10/19/16,21.6,1.53,0.34,Chronic Hepatitis,RNA Later,14,1.2
BN1,10/19/16,111.1,1.55,0.24,Chronic Hepatitis,RNA Later,14,1
DA1,10/19/16,27.3,0.86,0.56,Chronic Hepatitis,RNA Later,14,1